68cec3c8f122318379f71887|170339|组六1234567|50.0|{"SS0001":50.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:00
68cec3e2f122318379f71889|170339|486|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:26
68cec3e2f122318379f7188a|170339|组选468|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:26
68cec3e2f122318379f7188c|170339|193|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:26
68cec3e2f122318379f7188d|170339|组选139|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:26
68cec3e4f122318379f7188f|170339|436|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:28
68cec3e4f122318379f71890|170339|483|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:28
68cec3e4f122318379f71891|170339|386|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:28
68cec3e4f122318379f71892|170339|组选346|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:28
68cec3e4f122318379f71893|170339|组选348|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:28
68cec3e4f122318379f71894|170339|组选368|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:28
68cec3e9f122318379f71896|170339|组六3468|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:33
68cec3f5f122318379f71898|170339|386|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:45
68cec3f5f122318379f71899|170339|组选368|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:45
68cec3faf122318379f7189b|170339|618|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:50
68cec3faf122318379f7189c|170339|186|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-20 23:10:50
